,Year,Rating,Runtime(Mins),Total_Gross,Title
344,1997,7.3,138,112.23,Face/Off
345,1995,7.3,116,91.4,Crimson Tide
346,1994,7.3,141,146.28,True Lies
347,1994,7.3,116,121.25,Speed
348,1990,7.3,117,5.02,Nikita
349,1986,7.3,119,109.71,Star Trek IV: The Voyage Home
350,1985,7.3,116,17.31,To Live and Die in L.A.
351,1984,7.3,126,90.82,The Karate Kid
352,1984,7.3,105,234.76,Beverly Hills Cop
354,1972,7.3,123,36.73,The Getaway
355,1963,7.3,104,4.58,Jason and the Argonauts
357,2016,7.2,120,2.96,Anthropoid
359,2015,7.2,158,6.56,Bajirao Mastani
361,2014,7.2,99,1.27,'71
362,2014,7.2,160,0.71,Holiday
363,2014,7.2,137,115.64,Unbroken
364,2015,7.2,116,45.45,The Man from U.N.C.L.E.
365,2012,7.2,118,1.52,Kon-Tiki
366,2011,7.2,146,79.88,War Horse
367,2012,7.2,97,103.41,Rise of the Guardians
368,2012,7.2,142,408.01,The Hunger Games
369,2011,7.2,90,165.25,Kung Fu Panda 2
370,2009,7.2,103,1.82,Harry Brown
372,2012,7.2,109,138.45,21 Jump Street
374,2011,7.2,107,123.48,Rango
377,2008,7.2,114,5.69,RocknRolla
378,2008,7.2,139,0.13,Joheunnom nabbeunnom isanghannom
379,2007,7.2,101,256.39,I Am Legend
380,2014,7.2,132,101.53,The Equalizer
381,2007,7.2,126,5.7,Mongol
382,2004,7.2,118,61.26,Friday Night Lights
384,2004,7.2,98,32.79,Team America: World Police
385,2004,7.2,119,24.01,The Life Aquatic with Steve Zissou
386,2005,7.2,187,218.08,King Kong
387,2005,7.2,144,47.4,Kingdom of Heaven
388,2003,7.2,138,281.49,The Matrix Reloaded
389,2000,7.2,165,113.33,The Patriot
390,1999,7.2,117,24.36,Arlington Road
391,1998,7.2,122,41.62,Ronin
392,1996,7.2,108,25.75,From Dusk Till Dawn
393,1995,7.2,130,106.6,GoldenEye
394,1994,7.2,119,50.28,Natural Born Killers
395,1993,7.2,128,102.31,In the Line of Fire
396,1991,7.2,110,74.89,Star Trek VI: The Undiscovered Country
397,1991,7.2,122,43.22,Point Break
398,1989,7.2,114,147.25,Lethal Weapon 2
399,1988,7.2,126,57.27,Willow
400,1988,7.2,94,13.01,They Live
401,1986,7.2,84,5.85,The Transformers: The Movie
402,1986,7.2,97,5.84,The Hitcher
403,1986,7.2,99,11.1,Big Trouble in Little China
404,1985,7.2,133,33.2,Silverado
405,1985,7.2,111,7.94,Runaway Train
406,1973,7.2,124,4.56,Magnum Force
407,1972,7.2,99,4.06,Meng long guo jiang
408,1972,7.2,106,1.29,Jing wu men
411,1966,7.2,91,0.03,Django
412,1962,7.2,110,16.07,Dr. No
415,2021,7.1,115,121.63,Free Guy
418,2016,7.1,124,40.1,Allied
419,2017,7.1,114,51.34,American Made
420,2015,7.1,137,353.01,Fast & Furious 7
421,2015,7.1,121,43.48,Everest
422,2014,7.1,116,0.05,Kraftidioten
424,2016,7.1,95,143.53,Kung Fu Panda 3
425,2013,7.1,85,2.55,Dragon Ball Z: Doragon bôru Z - Kami to Kami
426,2011,7.1,105,0.12,God Bless America
428,2016,7.1,107,61.43,Deepwater Horizon
429,2013,7.1,126,4.56,Snowpiercer
430,2012,7.1,95,13.41,Dredd
431,2010,7.1,155,4.37,Enthiran
432,2013,7.1,130,409.01,Iron Man Three
433,2009,7.1,129,9.08,Flickan som lekte med elden
434,2009,7.1,105,1.26,Micmacs à tire-larigot
435,2008,7.1,97,0.47,JCVD
439,2008,7.1,137,28.64,Defiance
440,2007,7.1,124,47.0,Shooter
441,2013,7.1,143,291.05,Man of Steel
442,2006,7.1,102,70.27,Rocky Balboa
443,2006,7.1,178,0.8,Don
444,2006,7.1,126,64.04,Deja Vu
445,2007,7.1,169,309.42,Pirates of the Caribbean: At World's End
446,2006,7.1,168,2.1,Fanaa
447,2006,7.1,135,33.6,Flags of Our Fathers
448,2004,7.1,84,1.2,Banlieue 13
449,2003,7.1,108,4.56,Ong-bak
450,2004,7.1,115,144.8,"I, Robot"
451,2007,7.1,128,134.53,Live Free or Die Hard
452,2002,7.1,138,78.12,We Were Soldiers
453,2000,7.1,109,39.24,Pitch Black
454,1999,7.1,100,81.53,Payback
455,1999,7.1,124,155.25,The Mummy
456,1998,7.1,120,70.09,Blade
457,1999,7.1,114,60.65,Three Kings
458,1996,7.1,110,180.98,Mission: Impossible
459,1995,7.1,104,25.63,Desperado
460,1992,7.1,126,162.83,Batman Returns
461,1990,7.1,124,117.54,Die Hard 2
462,1989,7.1,113,18.67,Casualties of War
463,1987,7.1,114,35.51,No Way Out
464,1986,7.1,116,5.9,Highlander
465,1983,7.1,114,79.57,WarGames
466,1981,7.1,99,25.24,Escape from New York
467,1972,7.1,117,84.56,The Poseidon Adventure
471,2017,7.0,118,27.78,Logan Lucky
472,2018,7.0,118,216.65,Ant-Man and the Wasp
473,2018,7.0,122,50.07,Sicario: Day of the Soldado
474,2016,7.0,170,6.2,Sultan
475,2015,7.0,120,110.83,Spy
476,2014,7.0,125,5.74,A Most Violent Year
477,2015,7.0,105,2.68,Yip Man 3
478,2016,7.0,122,158.85,Star Trek Beyond
479,2014,7.0,112,191.72,22 Jump Street
480,2019,7.0,107,3.96,Yip Man 4
481,2013,7.0,130,238.68,Furious 6
482,2012,7.0,89,64.58,Chronicle
483,2011,7.0,112,127.0,Super 8
485,2017,7.0,113,34.39,The Foreigner
486,2013,7.0,124,89.02,Oblivion
487,2013,7.0,97,0.03,Filth
488,2011,7.0,148,3.68,Don 2
489,2018,7.0,140,44.95,Den of Thieves
490,2010,7.0,111,90.38,RED
491,2008,7.0,92,0.1,Bronson
492,2009,7.0,140,97.1,Public Enemies
494,2008,7.0,85,80.05,Cloverfield
496,2008,7.0,107,110.52,Tropic Thunder
497,2007,7.0,126,0.13,Tau ming chong
498,2007,7.0,96,1.78,Son of Rambow
499,2013,7.0,116,202.36,World War Z
500,2011,7.0,115,181.03,Thor
501,2012,7.0,130,80.07,Jack Reacher
502,2008,7.0,128,39.39,Body of Lies
503,2006,7.0,114,6.57,Man cheng jin dai huang jin jia
504,2009,7.0,79,31.74,9
505,2008,7.0,92,42.75,Rambo
506,2019,7.0,132,140.37,Shazam!
507,2011,7.0,127,85.47,Real Steel
508,2007,7.0,110,47.54,The Kingdom
509,2005,7.0,111,11.91,Tom yum goong
510,2007,7.0,144,319.25,Transformers
511,2008,7.0,120,75.75,Hellboy II: The Golden Army
512,2005,7.0,121,75.98,Constantine
513,2004,7.0,179,1.72,Main Hoon Na
514,2005,7.0,103,24.52,Unleashed
515,2003,7.0,121,51.97,Underworld
516,2003,7.0,111,106.13,The Italian Job
517,2001,7.0,129,0.02,Koroshiya 1
518,2001,7.0,126,0.03,Spy Game
519,2001,7.0,142,11.26,Le pacte des loups
520,1998,7.0,86,0.27,Taxi
521,1998,7.0,98,141.15,Rush Hour
522,1998,7.0,124,25.19,Fallen
523,1996,7.0,145,306.17,Independence Day
524,1994,7.0,116,71.57,Stargate
525,1994,7.0,127,101.63,Maverick
526,1993,7.0,120,35.11,Dragon: The Bruce Lee Story
527,1992,7.0,95,20.15,Juice
528,1991,7.0,105,59.51,The Last Boy Scout
529,1977,7.0,125,46.8,The Spy Who Loved Me
530,1974,7.0,165,116.0,The Towering Inferno
531,1974,7.0,115,25.0,Thunderbolt and Lightfoot
532,1953,7.0,85,4.36,The War of the Worlds
536,2018,6.9,135,213.77,Solo: A Star Wars Story
537,2016,6.9,142,1.36,Fan
538,2016,6.9,144,155.44,X-Men: Apocalypse
539,2015,6.9,84,0.23,Slow West
540,2018,6.9,100,69.18,Game Night
541,2017,6.9,152,620.18,Star Wars: Episode VIII - The Last Jedi
542,2017,6.9,119,404.52,Jumanji: Welcome to the Jungle
543,2020,6.9,109,1.07,Love and Monsters
544,2014,6.9,106,92.17,Non-Stop
545,2013,6.9,106,6.26,All Is Lost
546,2017,6.9,118,75.47,The Hitman's Bodyguard
547,2013,6.9,131,101.8,Pacific Rim
549,2015,6.9,122,25.02,In the Heart of the Sea
550,2016,6.9,117,128.34,Ghostbusters
551,2010,6.9,124,312.43,Iron Man 2
552,2010,6.9,97,55.68,Legend of the Guardians: The Owls of Ga'Hoole
553,2013,6.9,109,26.0,The World's End
555,2016,6.9,139,20.76,Free State of Jones
556,2008,6.9,114,23.53,Traitor
557,2012,6.9,136,262.03,The Amazing Spider-Man
558,2008,6.9,111,87.34,Pineapple Express
559,2006,6.9,88,27.83,Crank
560,2013,6.9,90,0.15,Alan Partridge: Alpha Papa
561,2007,6.9,100,28.64,28 Weeks Later
562,2011,6.9,124,176.65,Captain America: The First Avenger
563,2006,6.9,139,55.01,The Guardian
565,2015,6.9,124,652.27,Jurassic World
566,2004,6.9,131,173.01,National Treasure
567,2006,6.9,126,134.03,Mission: Impossible III
568,2001,6.9,131,18.21,The Last Castle
569,2001,6.9,95,84.05,Atlantis: The Lost Empire
570,2001,6.9,132,56.57,A Knight's Tale
571,1997,6.9,117,27.78,The Edge
572,1997,6.9,115,101.12,Con Air
573,1994,6.9,101,119.94,The Mask
574,1994,6.9,141,122.19,Clear and Present Danger
575,1991,6.9,143,165.5,Robin Hood: Prince of Thieves
576,1990,6.9,107,27.44,Memphis Belle
577,1987,6.9,79,3.77,The Monster Squad
578,1986,6.9,110,179.8,Top Gun
579,1984,6.9,106,76.57,Romancing the Stone
580,1984,6.9,92,3.57,Repo Man
581,1982,6.9,96,78.87,48 Hrs.
582,1982,6.9,129,39.57,Conan the Barbarian
583,1981,6.9,118,41.09,Clash of the Titans
584,1977,6.9,96,126.74,Smokey and the Bandit
585,1974,6.9,93,22.0,Death Wish
586,1973,6.9,88,16.06,Westworld
587,1971,6.9,100,0.04,Tang shan da xiong
588,1965,6.9,130,63.6,Thunderball
589,2019,6.8,95,28.71,Ready or Not
592,2019,6.8,102,66.76,Spies in Disguise
593,2016,6.8,120,1.92,Shin Gojira
594,2019,6.8,123,426.83,Captain Marvel
597,2016,6.8,132,93.43,The Magnificent Seven
598,2015,6.8,148,200.07,Spectre
599,2013,6.8,112,206.36,Thor: The Dark World
600,2015,6.8,120,31.57,Chappie
601,2014,6.8,113,102.43,The Maze Runner
603,2011,6.8,117,51.58,The Grey
605,2018,6.8,143,335.06,Aquaman
606,2012,6.8,106,179.02,Men in Black 3
607,2011,6.8,113,63.69,Unknown
608,2010,6.8,125,172.06,Tron
609,2010,6.8,118,94.84,The Book of Eli
610,2011,6.8,111,40.26,Hanna
611,2010,6.8,115,35.05,Green Zone
612,2007,6.8,117,28.56,We Own the Night
613,2010,6.8,98,81.56,Unstoppable
614,2005,6.8,116,3.34,Harsh Times
